1A7D: full=118, modeled=118, missing=0
1BJ7: full=156, modeled=150, missing=6
1BZ4: full=144, modeled=144, missing=0
1FLP: full=142, modeled=142, missing=0
1HG5: full=289, modeled=263, missing=26
1HBE: full=Nan, modeled=Nan, missing=Nan
1HZ4: full=373, modeled=366, missing=7
1ICX: full=155, modeled=155, missing=0
1LWB: full=122, modeled=122, missing=0
1NG6: full=148, modeled=148, missing=0
1OZ9: full=150, modeled=141, missing=9
1P5X: full=245, modeled=245, missing=0
1XQO: full=256, modeled=253, missing=3
1YD0: full=96, modeled=89, missing=7
1Z1L: full=345, modeled=338, missing=7
2OVJ: full=201, modeled=201, missing=0
2XB5: full=207, modeled=207, missing=0
2XVV: full=585, modeled=582, missing=3
2Y4Z: full=140, modeled=135, missing=5
3ACW: full=293, modeled=284, missing=9
3C91: full=6104, modeled=6020, missing=84
3FIN: full=Nan, modeled=Nan, missing=Nan
3HJL: full=329, modeled=321, missing=8
3IEE: full=270, modeled=256, missing=14
3IXV: full=7512, modeled=7512, missing=0
3LTJ: full=201, modeled=191, missing=10
3ODS: full=415, modeled=320, missing=95
4CHV: full=1444, modeled=1376, missing=68
4OXW: full=119, modeled=106, missing=13
4R9A: full=144, modeled=138, missing=6
4UE4: full=390, modeled=390, missing=0
4YOK: full=204, modeled=199, missing=5
5I1M: full=458, modeled=458, missing=0
5KBU: full=4136, modeled=3504, missing=632
5M50: full=1850, modeled=1826, missing=24
5O8O: full=349, modeled=332, missing=17
5UZB: full=2478, modeled=2002, missing=476
6EM3: full=11904, modeled=6665, missing=5239
6F36: full=1748, modeled=1039, missing=709
6UXW: full=10847, modeled=4744, missing=6103
